Registeration Number,Project Name,Type of Project,District
PR/GJ/SURAT/SURAT CITY/SUDA/RAA00531/251017,River Front Tower,Residential/Group Housing,Surat
PR/GJ/RAJKOT/RAJKOT/Others/RAA00532/261017,SATYAJEET SOPAN,Residential/Group Housing,Rajkot
PR/GJ/RAJKOT/RAJKOT/Others/RAA00533/261017,SAVAN STATUS,Residential/Group Housing,Rajkot
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00534/261017,RADHE RESIDENCY,Residential/Group Housing,Ahmedabad
PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/RAA00535/261017,GANESH CITADEL,Residential/Group Housing,Gandhinagar
PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA00536/261017,PALASH RESIDENCES,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00537/261017,Tulsi Status,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00538/261017,Yash Flora,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00539/261017,VRAJ VALENCIA,Commercial,Ahmedabad
PR/GJ/RAJKOT/RAJKOT/Others/RAA00540/261017,SITARA HEIGHT,Residential/Group Housing,Rajkot
PR/GJ/RAJKOT/RAJKOT/Others/CAA00541/261017,KOPPER ARCADE - 2,Commercial,Rajkot
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00542/261017,RADHE RESIDENCY-II,Residential/Group Housing,Ahmedabad
PR/GJ/RAJKOT/RAJKOT/Others/RAA00543/261017,SHREE SIDDHIVINAYAK ELEGANCE,Residential/Group Housing,Rajkot
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00544/271017,Siddhi Vinayak Arcade,Commercial,Ahmedabad
PR/GJ/RAJKOT/RAJKOT/Others/RAA00545/271017,ISHVAR HEIGHTS,Residential/Group Housing,Rajkot
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00546/271017,Shivalik Sharda Park View,Residential/Group Housing,Ahmedabad
PR/GJ/RAJKOT/RAJKOT/Others/RAA00547/271017,White heaven,Residential/Group Housing,Rajkot
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00548/271017,Dynasty,Commercial,Ahmedabad
PR/GJ/RAJKOT/RAJKOT/Others/RAA00549/271017,RUKSHMANI HEIGHTS,Residential/Group Housing,Rajkot
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00550/271017,Aditi Elite ,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00551/271017,SATVA HOMES 2,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00552/271017,SHYAM HEIGHTS,Mixed Development,Ahmedabad
PR/GJ/GANDHINAGAR/KALOL/AUDA/MAA00553/271017,PANCHAMRUT ,Mixed Development,Gandhinagar
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00554/301017,AMWAAJ,Residential/Group Housing,Ahmedabad
PR/GJ/VALSAD/PARDI/Others/MAA00555/301017,Rama Residency,Mixed Development,Valsad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00556/301017,RATNA ARTEMUS,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00557/301017,MADHAV RAJ,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA00558/301017,FLORA IXORA,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00559/301017,RADHEY HEIGHTS,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00560/301017,SHARANYA BELLEVUE,Residential/Group Housing,Ahmedabad
PR/GJ/SURAT/SURAT CITY/SUDA/CAA00561/301017,BELLISSIMO HUB,Commercial,Surat
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00562/011117,FORTUNE BUSINESS HUB,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00563/011117,SHAHIBAUG GREENS,Residential/Group Housing,Ahmedabad
PR/GJ/SURAT/SURAT CITY/SUDA/CAA00564/011117,OM ARCADE,Commercial,Surat
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00565/011117,ANAND SAPPHIRE,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00566/011117,SAMPADA ENCLAVE,Residential/Group Housing,Ahmedabad
PR/GJ/BHARUCH/BHARUCH/Others/RAA00567/011117,AADIL AVENUE 2,Residential/Group Housing,Bharuch
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00568/011117,SHIVALIK SQUARE,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00569/011117,Mann-5 Avenue,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00570/011117,ADITYA ANTRIX,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00571/011117,ARSHAD MERIDIAN,Residential/Group Housing,Ahmedabad
PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/RAA00572/011117,SILICON HEIGHTS,Residential/Group Housing,Gandhinagar
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00573/021117,DEV ATELIER,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00574/021117,DEV AURUM,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00575/021117,kesar Alanta,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00576/021117,"Water Lily Ph-3 (Towers-A6,A7)",Residential/Group Housing,Ahmedabad
